test_id,layer,requirements,result,classification,duration_ms,name,details
MF-P64-004,manifest,AIG-001|AIG-004,PASS,PASS_EXACT,0,P6.3 accepted source evidence is recorded,"{""version"":""P6.3.0-0.1"",""declared"":167,""executed"":167,""passed"":167,""failed"":0,""skipped"":0,""evidence"":""protocol_results_6.3.0.json""}"
MF-P64-005,manifest,BLD-009|CMP-004,PASS,PASS_EXACT,0,Full file hash ledger is declared,"{""ledger"":""SHA256SUMS.txt""}"
MF-P64-006,manifest,AIG-003|AIG-006,PASS,PASS_EXACT,0,Rollback package is the accepted P6.3 source,"{""rollback"":""scilab_jcef_foundation_p6.3.0_v0.1.zip""}"
MF-P64-007,manifest,TST-001|AIG-004,PASS,PASS_EXACT,0,P6.4 inventory expands P6.3 without removals,"{""declared"":177,""baseline"":167}"
MF-P64-008,manifest,CMP-004|BLD-009,PASS,PASS_EXACT,0,Package metadata matches active foundation identity,"{""version"":""P6.4.0-0.1""}"
BR-PRO-001,browser,PRO-001|PRO-002|PRO-003,PASS,PASS_EXACT,0.19999998807907104,Envelope validation accepts valid message,"{""type"":""diagnostic.echo.request""}"
BR-PRO-002,browser,PRO-001|TST-003,PASS,PASS_EXACT,0,Envelope validation rejects missing type,{}
BR-REQ-001,browser,PRO-003|PRO-009,PASS,PASS_EXACT,0.09999999403953552,Request registry settles and cleans,{}
BR-REQ-002,browser,PRO-003|TST-003,PASS,PASS_EXACT,0.20000001788139343,Duplicate request ID rejected,{}
BR-REQ-003,browser,PRO-009,PASS,PASS_EXACT,21.80000001192093,Timeout settlement removes pending state,{}
BR-PLOT-001,browser,PLT-002|PLT-010,PASS,PASS_EXACT,1.800000011920929,Mock plot adapter lifecycle,{}
BR-PLOT-002,browser,PLT-002,PASS,PASS_EXACT,0,Adapter base rejects unimplemented methods,{}
BR-UI-001,browser,TST-007,PASS,PASS_EXACT,0,Critical test controls are reachable,{}
P45-CODEC-001,browser,PRO-005,PASS,PASS_EXACT,0.29999998211860657,Safe codec round trips UTF-8 and nested values,"{""encodedBytes"":53}"
P45-CODEC-002,browser,PRO-005,PASS,PASS_EXACT,0.09999999403953552,Safe codec emits explicit special numeric sentinels,"{""a"":{""numeric_encoding"":""special"",""value"":""nan""},""b"":{""numeric_encoding"":""special"",""value"":""positive_infinity""},""c"":{""numeric_encoding"":""special"",""value"":""negative_infinity""}}"
P45-CODEC-003,browser,PRO-005|TST-003,PASS,PASS_EXACT,0.09999999403953552,Safe codec rejects circular structures,"{""rejected"":true}"
P45-CODEC-004,browser,PRO-005|TST-003,PASS,PASS_EXACT,0.09999999403953552,Safe codec rejects unsupported object types,{}
P45-REQ-001,browser,PRO-003|PRO-004|TST-003,PASS,PASS_EXACT,0,Response validation rejects wrong request correlation,"{""errors"":[""request_id mismatch wrong""]}"
P45-REQ-002,browser,PRO-009,PASS,PASS_EXACT,0.09999999403953552,Request registry settles exactly once,"{""settlements"":1}"
P45-XFR-001,browser,PRO-009|PRO-010,PASS,PASS_EXACT,16.30000001192093,Transfer registry terminal settlement is exactly once,"{""events"":[""state"",""state"",""completed"",""cleaned""]}"
P45-XFR-002,browser,PRO-010,PASS,PASS_EXACT,0.09999999403953552,Generic helpers split exact boundaries and checksum text,"{""chunks"":[""abcd"",""efgh""],""checksum"":195}"
P45-UI-001,browser,TST-001,PASS,PASS_EXACT,0.19999998807907104,CSV formatter escapes commas quotes and newlines,"{""length"":152}"
BR-ARC-001,browser,ARC-009,PASS,PASS_EXACT,0,Browser transport initializes independently of application views,"{""transport"":true,""client"":true}"
BR-ARC-002,browser,ARC-009,PASS,PASS_EXACT,0.09999999403953552,Optional diagnostics can be disabled without startup failure,"{""disabledAndRestored"":true}"
BR-ST-001,browser,ARC-005|ARC-010,PASS,PASS_EXACT,0,Starter browser extension point is callable,"{""extension"":""P2.application.ping"",""callable"":true}"
BR-ST-002,browser,TST-008,PASS,PASS_EXACT,0,Release manifest agrees with active runtime identity,"{""version"":""P6.4.0-0.1"",""regressionBaseline"":""P4.5.1-0.1"",""protocolVersion"":1}"
BR-APP-001,browser,ARC-005|ARC-010,PASS,PASS_EXACT,0.09999999403953552,Application registration exposes declared service,"{""registered"":true}"
BR-APP-002,browser,CMP-004|TST-008,PASS,PASS_EXACT,0.10000002384185791,Application identity remains separate from foundation identity,"{""foundation"":""P6.4.0-0.1"",""application"":""0.8.7-m8.7""}"
BR-EXT-001,browser,ARC-005|ARC-010,PASS,PASS_EXACT,0,Reference sum browser service is registered,"{""registered"":true}"
BR-EXT-002,browser,PRO-012|TST-003,PASS,PASS_EXACT,0,Reference sum schema requires values,"{""errors"":[""values is required""]}"
BR-EXT-003,browser,ARC-005|CMP-004,PASS,PASS_EXACT,0,Application registry retains separate services,"{""services"":[""ping"",""sum""],""foundationVersion"":""P6.4.0-0.1"",""applicationVersion"":""0.8.7-m8.7""}"
AIPP-APP-001,browser,ARC-010,PASS,PASS_EXACT,0.09999999403953552,AIPP status service is registered,"{""registered"":true}"
AIPP-APP-004,browser,TST-001,PASS,PASS_EXACT,0,AIPP shell critical controls exist,"{""missing"":[]}"
AIPP-APP-006,browser,BLD-006,PASS,PASS_EXACT,0,AIPP payload diagnostic is absent from active runtime,"{""runtimeLoaded"":false}"
BR-P62-001,browser,BLD-009|CMP-004,PASS,PASS_EXACT,0,P6.2 build identity is active in browser runtime,"{""version"":""P6.4.0-0.1""}"
BR-P63-001,browser,BLD-009|CMP-004,PASS,PASS_EXACT,0,P6.3 build identity is active in browser runtime,"{""version"":""P6.4.0-0.1""}"
BR-P64-001,browser,BLD-009|CMP-004,PASS,PASS_EXACT,0,P6.4 package identity is active in browser runtime,"{""version"":""P6.4.0-0.1""}"
AIPP-M2-001,browser,ARC-010,PASS,PASS_EXACT,0.10000002384185791,AIPP pyrolist service and host adapter are registered,"{""service"":true,""adapter"":true}"
AIPP-M2-002,browser,TST-001,PASS,PASS_EXACT,0.10000002384185791,AIPP M2 pyrolist controls exist,"{""missing"":[]}"
AIPP-M3-001,browser,ARC-010,PASS,PASS_EXACT,0.10000002384185791,AIPP pyro editor model and view are registered,"{""model"":true,""view"":true}"
AIPP-M3-002,browser,TST-001,PASS,PASS_EXACT,0.09999999403953552,AIPP pyro editor controls exist,"{""missing"":[]}"
AIPP-M3-005,browser,TST-001,PASS,PASS_EXACT,87.80000001192093,Working edits do not mutate master formulation,"{""master"":""1500 K"",""working"":""1600 K""}"
AIPP-M3-006,browser,TST-001,PASS,PASS_EXACT,2.0999999940395355,Reset restores selected source formulation,"{""dirty"":false}"
AIPP-M3-007,browser,TST-003,PASS,PASS_EXACT,0.10000002384185791,Unknown formulation is rejected cleanly,"{""code"":""AIPP_UNKNOWN_FORMULATION""}"
AIPP-M3-008,browser,TST-003,PASS,PASS_EXACT,0,Formulation validator reports missing required fields,"{""errors"":[""Temperature is required."",""Density is required."",""reference_burn_rate is required."",""HEX is required.""]}"
AIPP-M4-001,browser,ARC-010,PASS,PASS_EXACT,0,Chamber pyro manager model and view are registered,"{""model"":true,""view"":true}"
AIPP-M4-002,browser,TST-001,PASS,PASS_EXACT,0.5999999940395355,Chamber pyro manager controls exist,"{""missing"":[],""hasValidAction"":true,""hasValidBody"":true}"
AIPP-M4-004,browser,TST-001,PASS,PASS_EXACT,6.899999976158142,Chamber pyro identifiers are unique and stable,"{""ids"":[""pyro-0001"",""pyro-0002""]}"
AIPP-M4-005,browser,TST-001,PASS,PASS_EXACT,3,Formulation assignment creates isolated working copy,"{""master"":""1500 K"",""working"":""1999 K""}"
AIPP-M4-006,browser,TST-001,PASS,PASS_EXACT,4.9000000059604645,Duplicated pyros remain independent,"{""original"":0,""copy"":4.2}"
AIPP-M4-007,browser,TST-001,PASS,PASS_EXACT,3.5999999940395355,Remove selects a deterministic neighbor,"{""selected"":""pyro-0001""}"
AIPP-M4-008,browser,TST-003,PASS,PASS_EXACT,5.300000011920929,Quantity and timing validation rejects invalid values,"{""errors"":[""Pyro 1: Number must be a positive integer."",""Pyro 1: Piles must be a positive integer."",""Pyro 1: Ignition delay must be non-negative.""]}"
AIPP-M4-009,browser,TST-001,PASS,PASS_EXACT,2,Shape changes install shape-specific defaults,"{""shape"":{""diameter"":""3.9 mm"",""total_height"":""1.9 mm"",""dome_height"":""0.076 mm""}}"
AIPP-M4-010,browser,TST-003,PASS,PASS_EXACT,0.7000000178813934,Unknown chamber pyro is rejected cleanly,"{""code"":""AIPP_UNKNOWN_CHAMBER_PYRO""}"
AIPP-M5-001,browser,ARC-010,PASS,PASS_EXACT,0.20000001788139343,Chamber filter model and view are registered,"{""model"":true,""view"":true}"
AIPP-M5-002,browser,TST-001,PASS,PASS_EXACT,0,Chamber filter controls exist,"{""missing"":[]}"
AIPP-M5-004,browser,TST-001,PASS,PASS_EXACT,0.5999999940395355,Filter duplication remains independent,"{""original"":0,""copy"":4.2}"
AIPP-M5-005,browser,TST-001|TST-003,PASS,PASS_EXACT,0.5,Only chamber from-side orifices may be assigned,"{""assigned"":[1,2]}"
AIPP-M5-006,browser,TST-003,PASS,PASS_EXACT,0.4000000059604645,Filter validation rejects invalid coefficient and method,"{""errors"":[""Filter 1: Method must be PERCENTAGE or KNTU."",""Filter 1: Coefficient must be a non-negative finite number.""]}"
AIPP-M5-007,browser,TST-001,PASS,PASS_EXACT,0.6000000238418579,Orifice dependency scan and delete remap are deterministic,"{""references"":1,""remapped"":[1]}"
AIPP-M5-008,browser,TST-003,PASS,PASS_EXACT,0.4000000059604645,Unknown filter and method are rejected cleanly,"{""codes"":[""AIPP_UNKNOWN_CHAMBER_FILTER"",""AIPP_UNKNOWN_FILTER_METHOD""]}"
AIPP-M531-001,browser,ARC-010,PASS,PASS_EXACT,0.09999999403953552,Runtime material service is registered,"{""service"":true,""cache"":true}"
AIPP-M6-001,browser,ARC-010,PASS,PASS_EXACT,0,Topology model and view are registered,"{""registered"":true}"
AIPP-M6-002,browser,TST-001,PASS,PASS_EXACT,0.09999999403953552,Topology controls exist,"{""controls"":true}"
AIPP-M6-003,browser,TST-001,PASS,PASS_EXACT,0.4000000059604645,Chamber identifiers are deterministic,"{""s"":{""chambers"":[{""id"":""chamber-0001"",""index"":1,""name"":""Chamber 1""},{""id"":""chamber-0002"",""index"":2,""name"":""Chamber 2""}],""orifices"":[],""selectedId"":""chamber-0002""}}"
AIPP-M6-004,browser,TST-001,PASS,PASS_EXACT,0.5999999940395355,Orifice endpoints use stable chamber IDs,"{""s"":{""chambers"":[{""id"":""chamber-0001"",""index"":1,""name"":""Chamber 1""},{""id"":""chamber-0002"",""index"":2,""name"":""Chamber 2""}],""orifices"":[{""id"":""orifice-0001"",""index"":1,""fromId"":""chamber-0001"",""toId"":""chamber-0002"",""name"":""Orifice 1""}],""selectedId"":""chamber-0002""}}"
AIPP-M6-005,browser,TST-003,PASS,PASS_EXACT,0.5,Connected chamber removal is blocked,"{""code"":""AIPP_CHAMBER_HAS_ORIFICES""}"
AIPP-M6-006,browser,TST-001,PASS,PASS_EXACT,1.300000011920929,Removing connection permits chamber removal,"{""s"":{""chambers"":[{""id"":""chamber-0002"",""index"":1,""name"":""Chamber 2""}],""orifices"":[],""selectedId"":""chamber-0002""}}"
AIPP-M6-007,browser,TST-003,PASS,PASS_EXACT,0.19999998807907104,Self-connected orifice is rejected,"{""code"":""AIPP_INVALID_ORIFICE_ENDPOINTS""}"
AIPP-M7-001,browser,ARC-010,PASS,PASS_EXACT,0,Production workspace controller is registered,"{""registered"":true}"
AIPP-M7-002,browser,TST-001,PASS,PASS_EXACT,0.10000002384185791,Three primary workspace tabs exist,"{""tabs"":[""aippTabEditor"",""aippTabRuntime"",""aippTabOutputs""]}"
AIPP-M7-003,browser,TST-001,PASS,PASS_EXACT,0,Three primary workspace panels exist,"{""panels"":[""aippPanelEditor"",""aippPanelRuntime"",""aippPanelOutputs""]}"
AIPP-M7-004,browser,TST-001,PASS,PASS_EXACT,0.10000002384185791,Workspace defaults to input deck editor,"{""active"":""editor""}"
AIPP-M7-005,browser,TST-007,PASS,PASS_EXACT,0.19999998807907104,Workspace switches to runtime,"{""active"":""runtime""}"
AIPP-M7-006,browser,TST-007,PASS,PASS_EXACT,0.30000001192092896,Workspace switches to outputs,"{""active"":""outputs""}"
AIPP-M7-007,browser,TST-003,PASS,PASS_EXACT,0,Unknown workspace tab is rejected,"{""code"":""AIPP_UNKNOWN_WORKSPACE_TAB""}"
AIPP-M81-001,browser,ARC-010,PASS,PASS_EXACT,0.09999999403953552,Authoritative deck document service is registered,"{""registered"":true}"
AIPP-M81-002,browser,TST-001,PASS,PASS_EXACT,0,Deck document declares schema and version,"{""schema"":""aipp.input-deck"",""version"":1}"
AIPP-M81-003,browser,TST-001,PASS,PASS_EXACT,0.09999999403953552,Deck document owns all editor sections,"{""sections"":true}"
AIPP-M81-004,browser,TST-001,PASS,PASS_EXACT,0.20000001788139343,Topology mutation synchronizes authoritative deck,"{""chambers"":1}"
AIPP-M81-005,browser,TST-001,PASS,PASS_EXACT,0.09999999403953552,Meaningful mutation marks deck dirty,"{""dirty"":true}"
AIPP-M81-006,browser,TST-001,PASS,PASS_EXACT,0.20000001788139343,Mark saved clears dirty state,"{""dirty"":false,""name"":""qualified.json""}"
AIPP-M81-007,browser,TST-001,PASS,PASS_EXACT,0,Deck snapshot is isolated from internal state,"{""isolated"":true}"
AIPP-M81-008,browser,TST-003,PASS,PASS_EXACT,0.09999999403953552,Invalid deck schema is rejected,"{""code"":""AIPP_INVALID_DECK_SCHEMA""}"
AIPP-M81-009,browser,BLD-012,PASS,PASS_EXACT,0,Deck serialization is deterministic,"{""characters"":252}"
AIPP-M82-001,browser,TST-001,PASS,PASS_EXACT,22.799999982118607,New deck resets to clean untitled document,"{""name"":""untitled.json"",""toolbarLabels"":true}"
AIPP-M82-002,browser,TST-003,PASS,PASS_EXACT,0.09999999403953552,Candidate validation rejects wrong schema atomically,"{""code"":""AIPP_INVALID_DECK_SCHEMA""}"
AIPP-M82-003,browser,PRO-009,PASS,PASS_EXACT,0,Open service route is registered,"{""registered"":true}"
AIPP-M82-004,browser,PRO-009,PASS,PASS_EXACT,0,Save service route is registered,"{""registered"":true}"
AIPP-M82-005,browser,BLD-012,PASS,PASS_EXACT,0,Deck serialization excludes runtime meta,"{""metaExcluded"":true,""native"":true}"
AIPP-M82-007,browser,TST-001|TST-003|BLD-012,PASS,PASS_EXACT,0.5,Native AIPP deck is accepted and preserved,"{""preserved"":true}"
AIPP-M83-001,browser,ARC-010,PASS,PASS_EXACT,0,Native deck importer is registered,"{""registered"":true}"
AIPP-M83-002,browser,TST-001,PASS,PASS_EXACT,0.699999988079071,Native import hydrates supported editor projections,"{""chambers"":1,""pyros"":1,""filters"":1}"
AIPP-M83-003,browser,BLD-012|TST-001,PASS,PASS_EXACT,0.20000001788139343,Unknown native properties survive deterministic serialization,"{""preserved"":true}"
